,Unnamed: 0,State,TotalPop,Hispanic,White,Black,Native,Asian,Pacific,Income,males,females
34,4,North Dakota,721640,2.832682926829267,87.44829268292683,1.2843902439024395,5.651219512195119,0.9619512195121944,1.8214634146341382,58188.112195121954,367963,353677
35,5,Ohio,11575977,3.672084325059504,75.90306018361096,16.207276436586163,0.1688881332879971,1.6210812648758952,0.0226453587215233,49655.24846625767,5662893,5913084
36,1,Oklahoma,3849733,10.0799043062201,66.05942583732046,8.314736842105255,6.716842105263157,1.8011483253588516,0.1062200956937798,48100.85426653883,1906944,1942789
37,2,Oregon,3939233,11.441212121212132,78.39551515151517,1.730787878787877,1.0002424242424257,3.594909090909088,0.3453333333333332,54271.90181818182,1948453,1990780
38,3,Pennsylvania,12779559,6.128013741411624,77.38385384134914,11.633947532791996,0.1192692067457838,2.797751405371649,0.0193941286695815,56170.46451005025,6245344,6534215
39,4,Puerto Rico,3583073,98.89357384441936,0.7736189402480265,0.0925591882750846,0.0028184892897406,0.0751972942502818,0.0012401352874859,20720.538285714287,1713860,1869213
40,5,Rhode Island,1053661,13.356666666666678,74.32541666666665,5.68291666666667,0.3462500000000001,3.2474999999999983,0.0358333333333333,59125.270833333336,510388,543273
41,1,South Carolina,4777576,5.056684981684991,62.888736263736185,28.75091575091577,0.2923992673992673,1.249175824175822,0.0469780219780219,46296.80776340111,2322409,2455167
42,2,South Dakota,843190,3.2396396396396376,82.50090090090092,1.4238738738738752,9.417567567567566,1.0193693693693688,0.0418918918918918,51805.40540540541,423477,419713
43,3,Tennessee,6499615,4.720026972353339,73.49008766014822,18.283816587997297,0.2266351989211059,1.4072825354012126,0.0431557653405259,47328.08361658736,3167756,3331859
44,4,Texas,26538614,38.04673809068304,44.687908934379145,11.65004782858236,0.2611440596900712,3.6696958102161834,0.0688157643007461,55874.522600500095,13171316,13367298
45,5,Utah,2903379,13.468376068376063,79.40683760683764,1.0179487179487194,1.0813675213675222,2.196068376068376,0.8259829059829059,63488.91780821918,1459229,1444150
46,1,Vermont,626604,1.6092896174863391,93.9830601092896,0.9808743169398908,0.301639344262295,1.23879781420765,0.0306010928961748,55602.96721311475,308573,318031
47,2,Virginia,8256630,8.0110164981373,63.271048430015945,20.17599787120807,0.2124534326769558,5.455242150079845,0.0647152740819584,72866.01341201717,4060948,4195682
48,3,Washington,6985464,11.140968858131506,72.03840830449816,3.384429065743947,1.4107266435986163,7.022006920415224,0.609896193771627,64493.76768377254,3487725,3497739
49,4,West Virginia,1851420,1.290909090909089,92.17623966942146,3.662809917355372,0.1526859504132231,0.6824380165289253,0.0264462809917355,41437.11157024794,913631,937789
50,5,Wisconsin,5742117,6.683333333333334,79.86400862068966,8.195186781609202,0.9536637931034484,2.404238505747124,0.0208333333333333,53898.889208633096,2851385,2890732
